id	word	keep	category	severity	lemma
204	footjob	remove	sexualpractice	mild	
205	fotze	remove	sexualpractice	mild	
206	frigg	keep	sexualpractice	mild	fuck
207	frigged	keep	sexualpractice	mild	fuck
208	friggin	keep	sexualpractice	mild	fuck
209	frigging	keep	sexualpractice	mild	fuck
210	friggs	keep	sexualpractice	mild	fuck
211	frotting	remove	sexualpractice	mild	
212	fuck	keep	sexualpractice	strong	fuck
213	fucka	keep	sexualpractice	strong	fuck
214	fuckas	keep	sexualperson	strong	fuck
215	fuckaz	keep	sexualperson	strong	fuck
216	fucked	keep	sexualpractice	strong	fuck
217	fucker	keep	sexualperson	strong	fuck
218	fuckers	keep	sexualperson	strong	fuck
219	fuckin	keep	sexualpractice	strong	fuck
220	fucking	keep	sexualpractice	strong	fuck
221	fucks	keep	sexualpractice	strong	fuck
222	fudgepacker	keep	sexualorientation	mild	fuck
223	fuk	keep	sexualpractice	strong	fuck
224	fukah	keep	sexualperson	strong	fuck
225	fuken	keep	sexualpractice	strong	fuck
226	fuker	keep	sexualperson	strong	fuck
227	fukin	keep	sexualpractice	strong	fuck
228	fukk	keep	sexualpractice	strong	fuck
229	fukkah	keep	sexualperson	strong	fuck
230	fukken	keep	sexualpractice	strong	fuck
231	fukker	keep	sexualpractice	strong	fuck
232	fukkin	keep	sexualpractice	strong	fuck
233	futanari	remove	sexualpractice	mild	
234	futkretzn	remove	sexualpractice	mild	
235	fux0r	keep	sexualperson	strong	fuck
236	g-spot	remove	sexualpractice	mild	
237	g00k	remove	sexualpractice	mild	
238	gayboy	remove	sexualorientation	mild	
239	gaygirl	remove	sexualorientation	mild	
240	gays	remove	sexualorientation	mild	
241	gayz	remove	sexualorientation	mild	
242	goatcx	remove	sexualpractice	mild	
243	goatse	remove	sexualpractice	mild	
244	god-damned	remove	religious	mild	
245	goddamn	remove	religious	mild	
246	gokkun	remove	sexualpractice	mild	
247	goodpoop	keep	secretion	mild	poop
248	gook	remove	sexualpractice	mild	
249	goregasm	remove	sexualpractice	mild	
250	grope	remove	sexualpractice	mild	
251	guiena	remove	sexualpractice	mild	
252	guro	remove	sexualpractice	mild	
253	h00r	keep	sexualperson	extreme	whore
254	h0ar	keep	sexualperson	extreme	whore
255	h0r	keep	sexualperson	extreme	whore
256	h0re	keep	sexualperson	extreme	whore
257	h4x0r	keep	sexualperson	extreme	whore
258	hells	remove	sexualpractice	mild	
259	helvete	remove	sexualpractice	mild	
260	hentai	remove	sexualpractice	mild	
261	hoar	keep	sexualperson	extreme	whore
262	hoer	keep	sexualperson	extreme	whore
263	homo	remove	sexualpractice	mild	
264	honkey	remove	sexualpractice	mild	
265	hooker	keep	sexualperson	mild	hooker
266	hoor	keep	sexualperson	extreme	whore
267	hoore	keep	sexualperson	extreme	whore
268	hore	keep	sexualperson	extreme	whore
269	huevon	remove	sexualpractice	mild	
270	humping	remove	sexualpractice	mild	
271	idiot	remove	sexualpractice	mild	idiot
272	idiots	remove	sexualpractice	mild	idiot
273	jackoff	keep	sexualpractice	mild	other
274	jap	keep	racialslur	strong	jap
275	japs	keep	racialslur	strong	jap
276	jerk	keep	sexualperson	mild	jerk
277	jerk-off	keep	sexualpractice	mild	jerk
278	jigaboo	keep	racialslur	mild	jigger
279	jiggaboo	keep	racialslur	mild	jigger
280	jiggerboo	keep	racialslur	mild	jigger
281	jisim	remove	sexualpractice	mild	
282	jism	remove	sexualpractice	mild	
